Position,Player,Country,Total,R1,R2,R3,R4,Status
-,Bryson DeChambeau,USA,+6,+4,+2,-,,active
-,Davis Riley,USA,+18,+10,+8,-,,active
T9,Xander Schauffele,USA,-8,-2,E,-2,-4,active
-,J.J. Spaun,USA,+5,+2,+3,-,,active
51,Kurt Kitayama,USA,+7,-3,+7,+3,E,active
T7,Collin Morikawa,USA,-9,+2,-3,-4,-4,active
48,Aaron Rai,England,+5,-1,+2,+6,-2,active
54,Charl Schwartzel,South Africa,+12,+3,+1,+5,+3,active
-,Max Greyserman,USA,+12,+7,+5,-,,active
T21,Wyndham Clark,USA,-3,E,-4,E,+1,active
-,Nicolai Højgaard,Denmark,+6,+4,+2,-,,active
53,Rasmus Højgaard,Denmark,+10,+6,-2,+1,+5,active
-,Andrew Novak,USA,+7,+3,+4,-,,active
-,Robert MacIntyre,Scotland,+7,+8,-1,-,,active
46,Sungjae Im,South Korea,+3,+4,-3,-3,+5,active
T33,Brian Harman,USA,E,+7,-3,-5,+1,active
52,Sergio García,Spain,+8,E,+3,+2,+3,active
T12,Jason Day,Australia,-5,-3,-1,-4,+3,active
-,Brandon Holtz,USA,+15,+9,+6,-,,active
-,José María Olazábal,Spain,+9,+2,+7,-,,active
T33,Dustin Johnson,USA,E,+1,-1,+3,-3,active
1,Rory McIlroy,Northern Ireland,-12,-5,-7,+1,-1,active
T33,Gary Woodland,USA,E,-1,+3,+4,-6,active
T41,Nick Taylor,Canada,+2,-1,E,-2,+5,active
T30,Alex Noren,Sweden,-1,+5,-1,-3,-2,active
T24,Adam Scott,Australia,-2,E,+2,-2,-2,active
-,Vijay Singh,Fiji,+10,+7,+3,-,,active
-,Ryan Fox,New Zealand,+5,+5,E,-,,active
-,Danny Willett,England,+5,+4,+1,-,,active
-,Tom McKibbin,Northern Ireland,+7,+3,+4,-,,active
T41,Kristoffer Reitan,Norway,+2,E,-4,+1,+5,active
T18,Viktor Hovland,Norway,-4,+3,-1,-1,-5,active
T21,Ludvig Åberg,Sweden,-3,+2,-2,-3,E,active
T33,Ben Griffin,USA,E,E,-3,-2,+5,active
-,Nico Echavarria,Colombia,+13,+7,+6,-,,active
-,Min Woo Lee,Australia,+11,+6,+5,-,,active
-,Akshay Bhatia,USA,+6,+1,+5,-,,active
T3,Cameron Young,USA,-10,+1,-5,-7,+1,active
T24,Sam Stevens,USA,-2,E,+2,-2,-2,active
T21,Keegan Bradley,USA,-3,E,+2,+1,-6,active
-,Mike Weir,Canada,+10,+9,+1,-,,active
-,Sami Välimäki,Finland,+11,+8,+3,-,,active
T49,Marco Penge,England,+6,+4,-3,-1,+6,active
T30,Shane Lowry,Ireland,-1,-2,-3,-4,+8,active
-,Harry Hall,England,+5,+5,E,-,,active
-,Casey Jarvis,South Africa,+8,+5,+3,-,,active
T24,Chris Gotterup,USA,-2,E,-3,E,+1,active
-,Naoyuki Kataoka,Japan,+15,+12,+3,-,,active
T41,Justin Thomas,USA,+2,E,+2,-1,+1,active
-,Rasmus Neergaard-Petersen,Denmark,+7,+5,+2,-,,active
T24,Matt McCarty,USA,-2,E,+1,E,-3,active
T24,Michael Brennan,USA,-2,E,-1,-2,+1,active
T41,Jacob Bridgeman,USA,+2,-1,+2,-3,+4,active
T38,Ryan Gerard,USA,+1,E,E,-4,+5,active
-,Aldrich Potgieter,South Africa,+15,+12,+3,-,,active
-,Johnny Keefer,USA,+11,+4,+7,-,,active
-,Mason Howell,USA,+9,+5,+4,-,,active
-,Ethan Fang,USA,+8,+2,+6,-,,active
-,Fifa Laopakdee,Thailand,+11,+8,+3,-,,active
-,Mateo Pulcini,Argentina,+15,+9,+6,-,,active
-,Jackson Herrington,USA,+8,+4,+4,-,,active
T30,Harris English,USA,-1,+1,-1,-1,E,active
T3,Russell Henley,USA,-10,+1,-1,-6,-4,active
T12,Jordan Spieth,USA,-5,E,+1,-2,-4,active
-,Carlos Ortiz,Mexico,+11,+8,+3,-,,active
T33,Tommy Fleetwood,England,E,-1,-4,+1,+4,active
T3,Tyrrell Hatton,England,-10,+2,-6,E,-6,active
T12,Patrick Reed,USA,-5,-3,-3,E,+1,active
T3,Justin Rose,England,-10,-2,-3,-3,-2,active
T12,Hideki Matsuyama,Japan,-5,E,-2,E,-3,active
T12,Patrick Cantlay,USA,-5,+5,-5,-6,+1,active
-,Ángel Cabrera,Argentina,+16,+7,+9,-,,active
T12,Brooks Koepka,USA,-5,E,-3,-1,-1,active
-,Zach Johnson,USA,+6,+3,+3,-,,active
47,Si Woo Kim,South Korea,+4,+3,+1,E,E,active
-,Bubba Watson,USA,+5,+4,+1,-,,active
T41,Sepp Straka,Austria,+2,+1,E,-3,+4,active
T9,Max Homa,USA,-8,E,-2,-1,-5,active
-,Michael Kim,USA,+8,+3,+5,-,,active
-,Daniel Berger,USA,+8,+4,+4,-,,active
T18,Matt Fitzpatrick,England,-4,+2,-3,-2,-1,active
-,Fred Couples,USA,+9,+6,+3,-,,active
T49,Corey Conners,Canada,+6,+3,+1,-1,+3,active
-,Cameron Smith,Australia,+7,+2,+5,-,,active
T38,Haotong Li,China,+1,-1,-3,-3,+8,active
2,Scottie Scheffler,USA,-11,-2,+2,-7,-4,active
T24,Brian Campbell,USA,-2,-1,+1,-3,+1,active
T18,Maverick McNealy,USA,-4,+5,-2,-2,-5,active
T38,Jon Rahm,Spain,+1,+6,-2,+1,-4,active
11,Jake Knapp,USA,-7,+1,-3,-3,-2,active
T7,Sam Burns,USA,-9,-5,-1,-4,+1,active
