Position,Player,Country,Total,R1,R2,R3,R4,Status
-,Bryson DeChambeau,USA,+7,+6,+1,,,active
T44,Denny McCarthy,USA,+2,+1,+1,E,E,active
-,Davis Riley,USA,+11,+8,+3,,,active
T7,Xander Schauffele,USA,-4,-2,+3,-4,-1,active
-,J.J. Spaun,USA,+6,E,+6,,,active
-,Ben Polland,USA,+6,+3,+3,,,active
T44,Jhonattan Vegas,Venezuela,+2,+3,+1,-1,-1,active
T10,Kurt Kitayama,USA,-3,E,-1,+5,-7,active
-,Adam Schenk,USA,+6,+5,+1,,,active
-,J.T. Poston,USA,+5,+1,+4,,,active
T44,Matt Wallace,England,+2,+1,+1,+2,-2,active
T55,Collin Morikawa,USA,+3,-1,+2,+4,-2,active
1,Aaron Rai,England,-9,E,-1,-3,-5,active
T60,Sahith Theegala,USA,+4,-2,+3,+2,+1,active
-,Jason Dufner,USA,+8,+5,+3,,,active
-,Austin Smotherman,USA,+7,+2,+5,,,active
T18,Joaquín Niemann,Chile,-1,-1,+3,-4,+1,active
T14,Max Greyserman,USA,-2,-2,-1,+1,E,active
-,Wyndham Clark,USA,+5,+5,E,,,active
-,Jordan Gumberg,USA,+6,+3,+3,,,active
T44,Nicolai Højgaard,Denmark,+2,-1,+5,-4,+2,active
T65,Rasmus Højgaard,Denmark,+6,+2,+1,+1,+2,active
T26,Andrew Novak,USA,E,-1,E,+1,E,active
-,Travis Smyth,Australia,+7,+4,+3,,,active
-,Robert MacIntyre,Scotland,+5,E,+5,,,active
-,Sungjae Im,South Korea,+5,+3,+2,,,active
-,Max McGreevy,USA,+6,+6,E,,,active
T60,Rico Hoey,Philippines,+4,E,E,+1,+3,active
-,Garrick Higgo,South Africa,+5,-1,+6,,,active
-,Jesse Droemer,USA,+18,+7,+11,,,active
-,Brandt Snedeker,USA,+6,+2,+4,,,active
T60,Brian Harman,USA,+4,E,+3,-4,+5,active
-,Y.E. Yang,South Korea,+9,+2,+7,,,active
T75,Daniel Brown,England,+8,-2,+5,E,+5,active
-,Billy Horschel,USA,+8,+4,+4,,,active
