Position,Player,Country,Total,R1,R2,R3,R4,Status
T14,Bryson DeChambeau,USA,-4,-3,-2,-1,+2,active
T18,Xander Schauffele,USA,-3,+1,-1,-4,+1,active
T40,J.J. Spaun,USA,-1,E,-3,+3,-1,active
T6,Lucas Herbert,Australia,-6,E,-8,+1,+1,active
T40,Kurt Kitayama,USA,-1,-1,+1,E,-1,active
-,J.T. Poston,USA,+2,+1,+1,-,,active
T53,Eric Cole,USA,+1,+6,-6,-4,+5,active
T40,Matt Wallace,England,-1,-1,-3,+2,+1,active
T18,Collin Morikawa,USA,-3,-2,E,E,-1,active
-,Aaron Rai,England,+2,+1,+1,-,,active
T53,Sahith Theegala,USA,+1,+1,-1,-2,+3,active
-,Joaquín Niemann,Chile,+4,+6,-2,-,,active
-,Max Greyserman,USA,+5,+6,-1,-,,active
-,Wyndham Clark,USA,+3,+3,E,-,,active
-,Nicolai Højgaard,Denmark,+2,+2,E,-,,active
-,Rasmus Højgaard,Denmark,+6,+1,+5,-,,active
-,Thomas Sloman,England,+4,+1,+3,-,,active
-,Andrew Novak,USA,+2,+3,-1,-,,active
T28,Victor Perez,France,-2,-2,-1,+3,-2,active
-,Travis Smyth,Australia,+3,+1,+2,-,,active
T28,Robert MacIntyre,Scotland,-2,-3,-1,+1,+1,active
T14,Sungjae Im,South Korea,-4,-4,+2,-1,-1,active
-,David Duval,USA,+10,+3,+7,-,,active
-,Brian Harman,USA,+9,+4,+5,-,,active
T18,Daniel Brown,England,-3,-4,+1,-1,+1,active
T46,Francesco Molinari,Italy,E,-3,-1,+2,+2,active
-,Billy Horschel,USA,+2,+1,+1,-,,active
T65,Peter Uihlein,USA,+3,+3,-2,+2,E,active
-,Jason Day,Australia,+4,+3,+1,-,,active
-,Padraig Harrington,Ireland,+9,+10,-1,-,,active
T40,Rory McIlroy,Northern Ireland,-1,+2,-3,-1,+1,active
-,Gary Woodland,USA,+9,+8,+1,-,,active
T18,Rickie Fowler,USA,-3,+1,-1,+1,-4,active
T59,Nick Taylor,Canada,+2,-2,+1,+2,+1,active
T18,Alex Noren,Sweden,-3,+1,-1,-1,-2,active
T9,Adam Scott,Australia,-5,+2,-4,+1,-4,active
1,Ryan Fox,New Zealand,-10,+2,-2,-8,-2,active
-,Bernd Wiesberger,Austria,+2,+1,+1,-,,active
-,Tom McKibbin,Northern Ireland,+2,+1,+1,-,,active
T18,Kristoffer Reitan,Norway,-3,-1,+1,-2,-1,active
T71,Alex Fitzpatrick,England,+6,-1,-3,+3,+7,active
-,Viktor Hovland,Norway,+4,E,+4,-,,active
T28,Cameron John,Australia,-2,E,-3,-1,+2,active
T9,Ludvig Åberg,Sweden,-5,+1,-4,-3,+1,active
-,Matthew Jordan,England,+9,+7,+2,-,,active
T59,Ben Griffin,USA,+2,-1,E,+4,-1,active
-,Antoine Rozner,France,+2,-1,+3,-,,active
T67,Nico Echavarria,Colombia,+4,+1,-3,-1,+7,active
T59,Min Woo Lee,Australia,+2,E,+1,+1,E,active
-,Akshay Bhatia,USA,+4,+1,+3,-,,active
-,Daniel Hillier,New Zealand,+2,+2,E,-,,active
T40,Michael Thorbjornsen,USA,-1,E,-2,+1,E,active
2,Cameron Young,USA,-9,-3,-3,+3,-6,active
-,Alistair Docherty,USA,+5,+3,+2,-,,active
-,Sam Stevens,USA,+2,+1,+1,-,,active
T74,Keegan Bradley,USA,+7,-1,+2,+4,+2,active
T46,Eugenio Chacarra,Spain,E,E,E,+1,-1,active
-,Sami Välimäki,Finland,+2,E,+2,-,,active
T18,Marco Penge,England,-3,+2,-2,-1,-2,active
T28,Shane Lowry,Ireland,-2,-1,-2,-1,+2,active
-,Harry Hall,England,+4,+7,-3,-,,active
-,Jeong-Woo Ham,South Korea,+9,+7,+2,-,,active
-,Frederic LaCroix,France,+4,+2,+2,-,,active
T74,Kazuki Higa,Japan,+7,+3,-2,+2,+4,active
-,Tom Kim,South Korea,+3,E,+3,-,,active
-,Jayden Schaper,South Africa,+2,E,+2,-,,active
T6,Casey Jarvis,South Africa,-6,+3,-3,-2,-4,active
T28,John Parry,England,-2,+1,-2,+3,-4,active
-,James Nicholas,USA,+5,+5,-,,,active
T18,Chris Gotterup,USA,-3,E,-2,+2,-3,active
