Position,Player,Country,Total,R1,R2,R3,R4,Status
-,Bryson DeChambeau,USA,+5,E,+5,-,,active
-,Cole Hammer,USA,+6,+3,+3,-,,active
-,Nick Hardy,USA,+12,+9,+3,-,,active
T11,Xander Schauffele,USA,+2,+1,-4,+3,+2,active
-,J.J. Spaun,USA,+8,+7,+1,-,,active
-,Lucas Herbert,Australia,+6,+4,+2,-,,active
T53,Kurt Kitayama,USA,+9,+4,-2,+6,+1,active
T4,J.T. Poston,USA,E,+1,+1,+1,-3,active
T17,Collin Morikawa,USA,+3,+3,-5,+3,+2,active
-,J.B. Holmes,USA,+9,+5,+4,-,,active
T11,Aaron Rai,England,+2,+4,-3,+2,-1,active
-,Nathan Kimsey,England,+6,+6,E,-,,active
T11,Sahith Theegala,USA,+2,+2,-3,E,+3,active
-,Jimmy Stanger,USA,+7,+4,+3,-,,active
-,Manav Shah,USA,+7,+3,+4,-,,active
T7,Joaquín Niemann,Chile,+1,+8,-5,+2,-4,active
T43,Max Greyserman,USA,+8,-1,+3,+6,E,active
1,Wyndham Clark,USA,-4,-6,-1,E,+3,active
-,Nicolai Højgaard,Denmark,+9,+4,+5,-,,active
-,Andrew Novak,USA,+5,+3,+2,-,,active
T39,Robert MacIntyre,Scotland,+7,E,+4,+3,E,active
T43,Sungjae Im,South Korea,+8,+4,-2,+1,+5,active
T32,Max McGreevy,USA,+6,-2,+3,+3,+2,active
T53,Angel Hidalgo,Spain,+9,-1,+4,+4,+2,active
T32,Brian Harman,USA,+6,-1,+1,+3,+3,active
-,Billy Horschel,USA,+5,+3,+2,-,,active
T56,Peter Uihlein,USA,+10,+4,E,+10,-4,active
-,Jason Day,Australia,E,+7,-,,,active
-,Padraig Harrington,Ireland,+11,+7,+4,-,,active
-,Brandon Holtz,USA,+10,+6,+4,-,,active
-,Graeme McDowell,Northern Ireland,+12,+6,+6,-,,active
T32,Dustin Johnson,USA,+6,-4,+7,+1,+2,active
-,Chris Kirk,USA,+9,+8,+1,-,,active
T32,Rory McIlroy,Northern Ireland,+6,-1,+1,+3,+3,active
T7,Gary Woodland,USA,+1,-3,+3,+3,-2,active
-,Rickie Fowler,USA,+5,+1,+4,-,,active
-,Nick Taylor,Canada,+5,+4,+1,-,,active
-,Alex Noren,Sweden,+6,+4,+2,-,,active
-,Adam Scott,Australia,+8,+3,+5,-,,active
T23,Ryan Fox,New Zealand,+5,E,+3,+4,-2,active
-,Kristoffer Reitan,Norway,+6,E,+6,-,,active
-,Brandon Wu,USA,+7,+8,-1,-,,active
-,Alejandro Tosti,Argentina,+8,+8,E,-,,active
T23,Alex Fitzpatrick,England,+5,+1,-1,+2,+3,active
-,Viktor Hovland,Norway,+5,+6,-1,-,,active
-,Taylor Montgomery,USA,+11,+7,+4,-,,active
T17,Ludvig Åberg,Sweden,+3,-1,+2,+6,-4,active
T43,Niklas Nørgaard,Denmark,+8,+1,E,+3,+4,active
-,Matthew Jordan,England,+5,+2,+3,-,,active
T17,Ben Griffin,USA,+3,+2,E,+2,-1,active
T56,Nico Echavarria,Colombia,+10,+1,+3,+5,+1,active
-,Kevin Roy,USA,+9,+2,+7,-,,active
-,Min Woo Lee,Australia,+7,+4,+3,-,,active
-,Ugo Coussaud,France,+9,+6,+3,-,,active
T17,Akshay Bhatia,USA,+3,E,E,+3,E,active
72,Dylan Wu,USA,+18,+3,+1,+12,+2,active
T61,Spencer Tibbits,USA,+11,-2,+4,+6,+3,active
T43,Cameron Young,USA,+8,+2,E,+3,+3,active
T7,Sam Stevens,USA,+1,-2,-1,+2,+2,active
T32,Keegan Bradley,USA,+6,E,+1,+1,+4,active
-,Matti Schmid,Germany,+14,+7,+7,-,,active
-,T.K. Kim,South Korea,+16,+9,+7,-,,active
-,Shane Lowry,Ireland,+6,+3,+3,-,,active
-,Chandler Phillips,USA,+9,+4,+5,-,,active
-,Harry Hall,England,+11,+4,+7,-,,active
-,Davis Thompson,USA,+10,+4,+6,-,,active
3,Tom Kim,South Korea,-1,E,-3,+2,E,active
-,Jayden Schaper,South Africa,+10,+5,+5,-,,active
T11,John Parry,England,+2,+1,+1,+1,-1,active
T65,James Nicholas,USA,+14,+1,+2,+12,-1,active
T43,Chris Gotterup,USA,+8,+5,-1,+3,+1,active
-,Taihei Sato,Japan,+9,+5,+4,-,,active
-,Ryuichi Oiwa,Japan,+10,+8,+2,-,,active
T23,Pierceson Coody,USA,+5,+2,+1,+1,+1,active
T43,Harry Higgs,USA,+8,+1,-2,+7,+2,active
T17,Justin Thomas,USA,+3,+1,-2,+5,-1,active
T43,Ryo Hisatsune,Japan,+8,+1,-1,+3,+5,active
-,Filippo Celli,Italy,+5,+5,E,-,,active
-,Kaito Onishi,Japan,+7,+7,E,-,,active
-,David Puig,Spain,+9,+7,+2,-,,active
-,Matt McCarty,USA,+12,+2,+10,-,,active
T43,Michael Brennan,USA,+8,+2,+1,+3,+2,active
-,Jackson Suber,USA,+5,+4,+1,-,,active
-,Cooper Dossey,USA,+11,+9,+2,-,,active
T39,Jacob Bridgeman,USA,+7,+3,+1,+4,-1,active
T53,Adrien Dumont de Chassart,Belgium,+9,+1,+1,+7,E,active
